"id","name","code","reconcile","chart_template_id/id","user_type_id/id"
"pcg_3914","Provisions pour dépréciation des produits intermédiaires","3914","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3915","Provisions pour dépréciation des produits finis","3915","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3941","Provisions pour dépréciation - fournisseurs débiteurs, avances et acomptes","3941","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3942","Provisions pour dépréciation des clients et comptes rattachés","3942","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3943","Provisions pour dépréciation du personnel - débiteur","3943","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3946","Provisions pour dépréciation des comptes d'associés débiteurs","3946","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3948","Provisions pour dépréciation des autres débiteurs","3948","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_3950","Provisions pour dépréciation des titres et valeurs de placement","3950","False","l10n_kzc_temp_chart","account.data_account_type_current_assets"
"pcg_4411","Fournisseurs","4411","True","l10n_kzc_temp_chart","account.data_account_type_payable"
"pcg_4413","Fournisseurs - retenues de garantie","4413","True","l10n_kzc_temp_chart","account.data_account_type_current_liabilities"
